Item,MfrNum,Description,StockoutDate,ReleaseDate,GapDays,ReasonCode,StockStatus,Source
214142,MDS21461B,COTTON BALLS MEDIUM,9/5/21,,,,,Cardinal Base
221374,BF305196,NEEDLE REG BEVEL 18GX11/2,7/6/21,7/6/21,7,Manufacturer Backorder,MBO ETR,Cardinal Base
225371,333875,NEEDLE SPINAL 5IN PENCAN PENCIL POINT,7/6/21,7/15/21,16,Manufacturer Backorder,MBO ETR,Valuelink
228642,BF305060,SYRINGE 3ML LUER-LOK W/BLUNT FILL NEEDLE,8/11/21,7/21/21,-21,,ETA,Cardinal Base
264449,N8831,GLV EXAM NITRILE STERILE PRS PF MD,8/10/21,8/16/21,13,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
264450,N8832,GLV EXAM NITRILE STERILE PRS PF LG,9/6/21,8/16/21,-14,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
270407,E1455-6,ELECTRODE EDGE COATED BLADE EXT 6.5IN,7/21/21,,,,,Cardinal Base
270963,MSC323950C,"LINER-PAD-CONTOUR-SUPER-PEACH-7""X14""",368.44,,07/10/2021,,,Medline
272596,EN93,BATTERY ENERGIZER ALK C,7/7/21,7/14/21,7,,ETA,Valuelink
276809,4320245,KIT COLLECTION E SWAB REGULAR,8/26/21,7/8/21,-49,,ETA,Cardinal Base
304548,W2200W,CLIP LIGATING 2200 MEDIUM,7/12/21,7/7/21,-5,,ETA,Valuelink
310897,B072223,DRAIN FLUTE WITH TROCAR ROUND 15FR,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
314308,CF2446,MM10 SVN W/T M/P FLEX U/C-IT TBG 50/CS,10/3/21,7/20/21,-75,,ETA,Cardinal Base
317943,ES400-18,PROBE ESOPHAGEAL TEMPERATURE,8/23/21,7/6/21,-48,,ETA,Cardinal Base
340636,2D73EB60,SRG GLOVE PROTEXIS PI BLUE W-NT 6.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340637,2D73EB65,SRG GLOVE PROTEXIS PI BLUE W-NT 6.5,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
340638,2D73EB70,SRG GLOVE PROTEXIS PI BLUE W-NT 7.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
340639,2D73EB75,SRG GLOVE PROTEXIS PI BLUE W-NT 7.5,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340640,2D73EB80,SRG GLOVE PROTEXIS PI BLUE W-NT 8.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340641,2D73EB85,SRG GLOVE PROTEXIS PI BLUE W-NT 8.5,7/24/21,8/16/21,30,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
340642,2D73EB90,SRG GLOVE PROTEXIS PI BLUE W-NT 9.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
349762,BF309646A,SYRINGE 5CC LUER-LOK TIP STERILE,7/15/21,,,,,Cardinal Base
351785,MDS202095,APPLICATOR COTTON-TIP PLASTIC 6IN STER,7/6/21,8/23/21,55,Manufacturer Backorder,MBO ETR,Valuelink
366427,309657,SYRINGE 3ML LUER LOCK BD STERILE,7/29/21,7/8/21,-21,,ETA,Cardinal Base
382715,DYND30389,CONTAINER SPECIMEN 4OZ OR STERILE,8/15/21,7/6/21,-40,Manufacturer Backorder,RBO ETA,Medline
395346,DYND30385,CONTAINER-SPECIMEN-STRL PATH-4OZ,7/7/21,,,,,Cardinal Base
405510,2D72PL65X,GLOVE SURGICAL PROTEXIS PI CLASSIC,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
405511,2D72PL70X,GLOVE SURGICAL PROTEXIS PI CLASSIC,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
405512,2D72PL75X,GLOVE SURGICAL PROTEXIS PI CLASSIC,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
405513,2D72PL80X,GLOVE SURGICAL PROTEXIS PI CLASSIC,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
405518,2D72PT70X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405519,2D72PT75X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405520,2D72PT80X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
405521,2D72PT85X,GLOVE SURGICAL PROTEXIS PI,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
406040,2D72N70X,SRG GLV PROTEXIS LATEX CLASSIC 7.0,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
406044,2D72N85X,SRG GLV PROTEXIS LATEX CLASSIC 8.5,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
407271,C15055-006,APPLICATOR COTTON TIP 6 NS,7/9/21,8/16/21,45,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
408453,SDTBARTYA,SLIPPER BARETIC 48PR/BX 1BX/CS,7/6/21,,,,,Valuelink
410323,DST-3A,GENESIS NON-CELLULOSE FILTER 2,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
416485,BF302830,20ML LUER-LOK SYRINGE ONLY,7/17/21,,,,,Cardinal Base
416487,BF302832,30ML LUER-LOK SYRINGE ONLY,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Cardinal Base
426675,N8852XPB,GLV EXAM NITRILE EXTENDEDCUFF PF MD,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
491742,A902916,16 FRENCH LUBRICATH URINE METER FOLEY TR,7/6/21,No Release Date,,Manufacturer Backorder,RBO ETR,Valuelink
529309,CA901AD,CRUTCH AXILLARY ADULT 62-70 300LB,7/9/21,,,,,Valuelink
558566,A304916,SURESTEP FOLEY TRAY SYSTEMBARDEX LUBRICA,8/5/21,7/7/21,-29,,ETA,Cardinal Base
567040,9128-10CSH,EXAM GLOVE NITRILE CHEMO BLUE SM,7/6/21,No Release Date,,Manufacturer Backorder,RBO ETR,Cardinal Base
570852,303134,SYRINGE 10ML S/T,7/6/21,7/9/21,3,Manufacturer Backorder,MBO ETA,Valuelink
571717,302995,SYRINGE 10ML LL STERILE,7/19/21,7/9/21,-10,,ETA,Cardinal Base
573497,MS900T,DEVICE DECANTING FOR ASEPTIC FLUID,7/10/21,,,,,Valuelink
589357,2D73HT70,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 7,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
589358,2D73HT75,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 7.5,8/6/21,8/16/21,17,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
589359,2D73HT80,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 8,8/30/21,8/16/21,-7,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
589379,2D73HT85,PI ORTHOPAEDIC SURGICAL GLOVES SIZE 8.5,8/19/21,8/16/21,4,Self Manuf Replenishment Issue,RBO ETR,Cardinal Base
590018,LSL8440,EMESIS BAG,7/6/21,No Release Date,,Manufacturer Backorder,MBO ETR,Valuelink
592815,44994,PURPLE MAX POWDER FREE EXAM GLOVES L,7/22/21,7/12/21,-10,,ETA,Cardinal Base
617684,31433538-,Q-TRACE 5400 DIAGNOSTIC TAB ELECTRODE,7/6/21,8/16/21,48,Self Manuf Replenishment Issue,RBO ETR,Valuelink
625464,930400,3ML CHLORAPREP APPLICATOR,7/19/21,7/14/21,-5,Manufacturer Backorder,MBO ETA,Valuelink
625466,930815,26ML CHLORAPREP HI-LITE ORANGE TINTED,7/8/21,,,,,Cardinal Base
625765,930825,26ML CHLORAPREP SCRUB TEAL TINTED APPL,7/12/21,,,,,Valuelink
